DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2002-Q3,95.6,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2002-Q4,95.2,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2003-Q1,95.8,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2003-Q2,94.7,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2003-Q3,95.0,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2003-Q4,96.7,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2004-Q1,96.9,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2004-Q2,97.8,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2004-Q3,97.8,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2004-Q4,97.8,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2005-Q1,98.1,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2005-Q2,98.8,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2005-Q3,99.2,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2005-Q4,100.7,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2006-Q1,101.5,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2006-Q2,103.3,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2006-Q3,103.7,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2006-Q4,104.8,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2007-Q1,106.2,s
