DATAFLOW,LAST UPDATE,freq,indic,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1983-12,-10.9,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1984-01,-10.7,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1984-02,-9.9,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1984-03,-9.8,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1984-04,-8.3,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1984-05,-9.5,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1984-06,-9.4,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1984-07,-7.5,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1984-08,-7.1,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1984-09,-7.9,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1984-10,-7.7,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1984-11,-6.4,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1984-12,-7.2,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1985-01,-5.9,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1985-02,-8.1,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1985-03,-9.5,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1985-04,-8.8,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1985-05,-7.7,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1985-06,-7.9,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1985-07,-8.1,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1985-08,-7.7,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1985-09,-6.3,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1985-10,-5.9,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1985-11,-5.3,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1985-12,-6.6,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1986-01,-7.3,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1986-02,-6.9,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1986-03,-6.9,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1986-04,-7.3,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1986-05,-6.8,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1986-06,-6.9,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1986-07,-6.8,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1986-08,-6.5,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1986-09,-7.2,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1986-10,-8.3,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1986-11,-7.7,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1986-12,-6.9,
